Catalog,Opus,Number,Peters,Date,Ensemble,Label,Issue,Notes
001_1,1,1,4,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
001_2,1,2,4,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-released in 1997 as 455 261-2 and in 2009 as Decca 478 1267
001_2,1,2,4,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
001_2,1,2,4,2008,Auryn-Quartett,Tacet,167,
001_2,1,2,4,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/92
001_2,1,2,4,1964,Dékany Quartet,Vox,SVBX 555,Also issued as VBX 55; released in 1996 as CDX 5113
001_2,1,2,4,1995,Hamburg Soloists,Arte Nova,74321 30471 2,Issue number of 4-disc set: 74321 31682 2
001_2,1,2,4,1990,Kodály Vonósnégyes,Naxos,8.550398,
001_2,1,2,4,1952,Schneider Quartet,Haydn Society,HSQ-3,Issue number of 3-disc set: HSQ-A; re-issued in 1963 as HS(T) 9075--HS(T) 9077 and in 2014 as Music & Arts CD-1281
001_2,1,2,4,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
001_3,1,3,4,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-released in 1997 as 455 261-2 and in 2009 as Decca 478 1267
001_3,1,3,4,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
001_3,1,3,4,2000,Atlanta Virtuosi,Pamplin,PMCD 2145,
001_3,1,3,4,2008,Auryn-Quartett,Tacet,167,
001_3,1,3,4,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/92
001_3,1,3,4,1964,Dékany Quartet,Vox,SVBX 556,Also issued as VBX 56
001_3,1,3,4,1950,Ensemble für alte Musik,Amadeo,AVRS 6178,Ensemble also listed as Concentus Musicus Wien; re-released in 1975 as Musical Heritage Society MHS 3152
001_3,1,3,4,1995,Hamburg Soloists,Arte Nova,74321 30471 2,Issue number of 4-disc set: 74321 31682 2
001_3,1,3,4,1990,Kodály Vonósnégyes,Naxos,8.550398,
001_3,1,3,4,1997,Petersen Quartett,Capriccio,10 786--10 787,
001_3,1,3,4,1952,Schneider Quartet,Haydn Society,HSQ-3,Issue number of 3-disc set: HSQ-A; re-issued in 1963 as HS(T) 9075--HS(T) 9077 and in 2014 as Music & Arts CD-1281
001_3,1,3,4,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
001_3,1,3,4,1967,Weller-Quartett,Decca,STS 15168,Re-released in 1971 as London STS 15168 and in 2005 as Decca 475 6796 (475 6797--475 6804)
001_4,1,4,4,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-released in 1997 as 455 261-2 and in 2009 as Decca 478 1267
001_4,1,4,4,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
001_4,1,4,4,2008,Auryn-Quartett,Tacet,167,
001_4,1,4,4,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/92
001_4,1,4,4,1964,Dékany Quartet,Vox,SVBX 556,Also issued as VBX 56
001_4,1,4,4,1995,Hamburg Soloists,Arte Nova,74321 30472 2,Issue number of 4-disc set: 74321 31682 2
001_4,1,4,4,1990,Kodály Vonósnégyes,Naxos,8.550398,
001_4,1,4,4,1997,Petersen Quartett,Capriccio,10 786--10 787,
001_4,1,4,4,1952,Schneider Quartet,Haydn Society,HSQ-2,Issue number of 3-disc set: HSQ-A; re-issued in 1963 as HS(T) 9075--HS(T) 9077 and in 2014 as Music & Arts CD-1281
001_4,1,4,4,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
001_6,1,6,4,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-released in 1997 as 455 261-2 and in 2009 as Decca 478 1267
001_6,1,6,4,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
001_6,1,6,4,2008,Auryn-Quartett,Tacet,167,
001_6,1,6,4,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/93
001_6,1,6,4,1964,Dékany Quartet,Vox,SVBX 556,Also issued as VBX 56
001_6,1,6,4,2010,Fitzwilliam String Quartet,Diversions,ddv 24151,Recorded in 2001
001_6,1,6,4,1995,Hamburg Soloists,Arte Nova,74321 30472 2,Issue number of 4-disc set: 74321 31682 2; re-released in 1997 as CDC 102
001_6,1,6,4,1990,Kodály Vonósnégyes,Naxos,8.550399,
001_6,1,6,4,1997,Petersen Quartett,Capriccio,10 786--10 787,
001_6,1,6,4,1939,Quatuor Pro Arte,Victor,M 528,May be re-release of His Master's Voice D.B.3115--D.B.3121; re-released in 1994 as Testament SBT 4056 and in 2017 as Warner Classics 0190295869182
001_6,1,6,4,1952,Schneider Quartet,Haydn Society,HSQ-2,Issue number of 3-disc set: HSQ-A; re-issued in 1963 as HS(T) 9075--HS(T) 9077 and in 2014 as Music & Arts CD-1281
001_6,1,6,4,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
001_6,1,6,4,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
002_1,2,1,4,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-released in 1997 as 455 261-2 and in 2009 as Decca 478 1267
002_1,2,1,4,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
002_1,2,1,4,2010,Auryn-Quartett,Tacet,188,
002_1,2,1,4,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/93
002_1,2,1,4,1964,Dékany Quartet,Vox,SVBX 562,
002_1,2,1,4,1995,Hamburg Soloists,Arte Nova,74321 30499 2,Issue number of 4-disc set: 74321 31682 2
002_1,2,1,4,1990,Kodály Vonósnégyes,Naxos,8.550399,
002_1,2,1,4,1964,Schneider Quartet,Haydn Society,HS-9078,Re-released in 2014 as Music & Arts CD-1281
002_1,2,1,4,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
002_2,2,2,4,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-released in 1997 as 455 261-2 and in 2009 as Decca 478 1267
002_2,2,2,4,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
002_2,2,2,4,2010,Auryn-Quartett,Tacet,188,
002_2,2,2,4,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/94
002_2,2,2,4,1964,Dékany Quartet,Vox,SVBX 562,
002_2,2,2,4,1995,Hamburg Soloists,Arte Nova,74321 30499 2,Issue number of 4-disc set: 74321 31682 2
002_2,2,2,4,1990,Kodály Vonósnégyes,Naxos,8.550399,
002_2,2,2,4,1964,Schneider Quartet,Haydn Society,HS-9078,Re-released in 2014 as Music & Arts CD-1281
002_2,2,2,4,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
002_3,2,3,,1964,Dékany Quartet,Vox,SVBX 562,
002_3,2,3,,1964,Schneider Quartet,Haydn Society,HS-9079,Re-released in 2014 as Music & Arts CD-1281
002_3,2,3,,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
002_4,2,4,4,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-released in 1997 as 455 261-2 and in 2009 as Decca 478 1267
002_4,2,4,4,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
002_4,2,4,4,2010,Auryn-Quartett,Tacet,188,
002_4,2,4,4,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/94
002_4,2,4,4,1964,Dékany Quartet,Vox,SVBX 562,
002_4,2,4,4,2006,Dominant-kvartet,Art Classics,ART-120,
002_4,2,4,4,1995,Hamburg Soloists,Arte Nova,74321 30500 2,Issue number of 4-disc set: 74321 31682 2
002_4,2,4,4,1993,Kodály Vonósnégyes,Naxos,8.550732,
002_4,2,4,4,1964,Schneider Quartet,Haydn Society,HS-9079,Re-released in 2014 as Music & Arts CD-1281
002_4,2,4,4,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
002_4,2,4,4,1992,Wiener Konzerthausquartett,Preiser,90905--90908,
002_5,2,5,,1972,Fine Arts Quartet,Vox,SVBX 597,
002_5,2,5,,1964,Schneider Quartet,Haydn Society,HS-9080,Discogs gives 1954; re-released in 2014 as Music & Arts CD-1281
002_5,2,5,,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
002_6,2,6,4,1974,Aeolian Quartet,London,STS 15328--STS 15832,Also issued as Argo HDNM 52--HDNM 56; re-released in 1997 as 455 261-2 and in 2009 as Decca 478 1267
002_6,2,6,4,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
002_6,2,6,4,2010,Auryn-Quartett,Tacet,188,
002_6,2,6,4,2006,Buchberger Quartett,Brilliant Classics,93650,Re-released in 2008 as 93782/94
002_6,2,6,4,1972,Fine Arts Quartet,Vox,SVBX 597,
002_6,2,6,4,2004,Fine Arts Quartet,Music & Arts,CD-1154,Recording of broadcast performance between 1967 and 1973
002_6,2,6,4,1995,Hamburg Soloists,Arte Nova,74321 30500 2,Issue number of 4-disc set: 74321 31682 2
002_6,2,6,4,1993,Kodály Vonósnégyes,Naxos,8.550732,
002_6,2,6,4,1964,Schneider Quartet,Haydn Society,HS-9080,Discogs gives 1954; re-released in 2014 as Music & Arts CD-1281
002_6,2,6,4,1990,Tátrai Vonósnégyes,Hungaroton,HCD 31089--HCD 31091,
002_6,2,6,4,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
003_1,3,1,4,1977,Aeolian Quartet,London,STS 15459--STS 15461,Re-released in 1997 as 455 261-2
003_1,3,1,4,1972,Fine Arts Quartet,Vox,SVBX 598,
003_1,3,1,4,2003,Kodály Vonósnégyes,Naxos,8.555703,
003_1,3,1,4,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
003_2,3,2,4,1977,Aeolian Quartet,London,STS 15459--STS 15461,Re-released in 1997 as 455 261-2
003_2,3,2,4,1972,Fine Arts Quartet,Vox,SVBX 598,
003_2,3,2,4,2003,Kodály Vonósnégyes,Naxos,8.555703,
003_2,3,2,4,1965,Nederlands Strijkkwartet,Decca,DL 710117,
003_3,3,3,2,1977,Aeolian Quartet,London,STS 15459--STS 15461,Re-released in 1997 as 455 261-2
003_3,3,3,2,1972,Fine Arts Quartet,Vox,SVBX 598,
003_3,3,3,2,2002,Kodály Vonósnégyes,Naxos,8.555704,
003_4,3,4,4,1977,Aeolian Quartet,London,STS 15459--STS 15461,Re-released in 1997 as 455 261-2
003_4,3,4,4,1972,Fine Arts Quartet,Vox,SVBX 598,
003_4,3,4,4,2002,Kodály Vonósnégyes,Naxos,8.555704,
003_4,3,4,4,1940,Quatuor Pro Arte,Victor,M 689,Re-released in 1994 as Testament SBT 4056 and in 2017 as Warner Classics 0190295869182
003_4,3,4,4,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
003_5,3,5,2,1977,Aeolian Quartet,London,STS 15459--STS 15461,Re-released in 1997 as 455 261-2
003_5,3,5,2,1966,Allegri String Quartet,Westminster,WST-17111,Also issued as XWN-19111; re-released in 1969 as Music Guild MS 852
003_5,3,5,2,1950,Amadeus String Quartet,EMI,C4017,Recorded in 1950
003_5,3,5,2,1951,Amadeus String Quartet,Westminster,WL 5064--WL 5065,"Recorded in 1951; also issued as WAL202; re-released in 1957 as Westminster XWN 18609, in 1963 as W 9033, in 2003 as Deutsche Grammophon 474 730-2, in 2009 as Brilliant Classics 93807 and in 2017 as Deutsche Grammophon 00289 479 7589"
003_5,3,5,2,1976,Benthien-Quartett,Audio Fidelity,FCS 50080,
003_5,3,5,2,1960,Danske kvartet,Valois,MB 752,
003_5,3,5,2,1972,Fine Arts Quartet,Vox,SVBX 598,
003_5,3,5,2,1948,Griller String Quartet,London,LS-656,Also issued as Decca LX 3087?
003_5,3,5,2,1964,Janáčkovo kvarteto,London,CS 6385,Also issued as Ace of Diamonds SDD 285; re-released in 1989 as 425 422-2
003_5,3,5,2,2002,Kodály Vonósnégyes,Naxos,8.555704,
003_5,3,5,2,1924,Léner Quartet,Columbia,67093-D-67094-D,
003_5,3,5,2,1999,Léner Quartet,Rockport,RR5006,Recorded in 1928
003_5,3,5,2,1973,Novákovo kvarteto,Saphir,25 726-1 SB,Re-released in 1978 as Mace 3606
003_5,3,5,2,1983,Philharmonia Quartett Berlin,Denon,OF-7094-ND,Re-released in 1986 as 38C37-7094 and in 1993 as Denon DC-8122
003_5,3,5,2,1957,Quartetto italiano,Angel,35185,Also issued as ANG 35185
003_5,3,5,2,1966,Quartetto italiano,Philips,SAL 3591,"Also issued as 7310 577; re-released in 1982 as 6570 577, in 1990 as 426 097-2, in 1995 as Arkadia MP 497.1 and in 2015 as Decca 478 8824"
003_5,3,5,2,1939,Quatuor Pro Arte,Victor,M 525,May be re-release of His Master's Voice D.B.2159--D.B.2165; re-released in 1994 as Testament SBT 4056 and in 2017 as Warner Classics 0190295869182
003_5,3,5,2,1994,Sharon Quartet,Discover International,DIDC 920172,
003_5,3,5,2,1964,Strauss-Quartett,Telefunken,6.41340,
003_5,3,5,2,1981,Varsovia-Streichquartett,Pro Arte,PAD 112,Also issued as PCD-112; re-released in 1986 as CDD 304
003_5,3,5,2,1992,Wiener Konzerthausquartett,Preiser,90905--90908,
003_5,3,5,2,1996,Wiener Streichquartett,Camerata,25CM-40,
003_6,3,6,4,1977,Aeolian Quartet,London,STS 15459--STS 15461,Re-released in 1997 as 455 261-2
003_6,3,6,4,1972,Fine Arts Quartet,Vox,SVBX 598,
003_6,3,6,4,2002,Kodály Vonósnégyes,Naxos,8.555704,
003_6,3,6,4,1992,Wiener Konzerthausquartett,Preiser,90905--90908,
009_1,9,1,3,1975,Aeolian Quartet,Argo,HDNQ.61--HDNQ.66,"Re-released in 1978 as London STS 15337--STS 15342, in 1997 as 455 261-2 and in 2009 as Decca 478 1267"
009_1,9,1,3,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
009_1,9,1,3,2010,Auryn-Quartett,Tacet,190,
009_1,9,1,3,1958,Beaux-Arts String Quartet,Washington,WR 450--WR 452,Also issued as WLP 9450
009_1,9,1,3,2006,Buchberger Quartett,Brilliant Classics,92886,Recorded in 2004-05; re-released in 2008 as 93782/82--93782/83
009_1,9,1,3,1967,Dékany Quartet,Vox,SVBX 563,
009_1,9,1,3,1989,Festetics Vonósnégyes,Hungaroton,HCD 17976--HCD 12977,"Also issued as SLPD 12976--SLPD 12978; re-released in 1999 as Arcana A 911, in 2000 as Arcana A 411 and in 2014 as Arcana A 378"
009_1,9,1,3,1994,Kodály Vonósnégyes,Naxos,8.550786,
009_1,9,1,3,2007,London Haydn Quartet,Hyperion,CDA67611,
009_1,9,1,3,1991,Tátrai Vonósnégyes,Hungaroton,HCD 31296--HCD 31297,
009_1,9,1,3,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
009_2,9,2,1,1975,Aeolian Quartet,Argo,HDNQ.61--HDNQ.66,"Re-released in 1978 as London STS 15337--STS 15342, in 1997 as 455 261-2 and in 2009 as Decca 478 1267"
009_2,9,2,1,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
009_2,9,2,1,2010,Auryn-Quartett,Tacet,190,
009_2,9,2,1,1958,Beaux-Arts String Quartet,Washington,WR 450--WR 452,Also issued as WLP 9450
009_2,9,2,1,2006,Buchberger Quartett,Brilliant Classics,92886,Recorded in 2004-05; re-released in 2008 as 93782/82--93782/83
009_2,9,2,1,1967,Dékany Quartet,Vox,SVBX 563,
009_2,9,2,1,1989,Festetics Vonósnégyes,Hungaroton,HCD 17976--HCD 12977,"Also issued as SLPD 12976--SLPD 12978; re-released in 1999 as Arcana A 911, in 2000 as Arcana A 411 and in 2014 as Arcana A 378"
009_2,9,2,1,1994,Kodály Vonósnégyes,Naxos,8.550787,
009_2,9,2,1,2007,London Haydn Quartet,Hyperion,CDA67611,
009_2,9,2,1,1991,Tátrai Vonósnégyes,Hungaroton,HCD 31296--HCD 31297,
009_2,9,2,1,1983,Wiener Konzerthausquartett,Vanguard,CSRV 295,
009_3,9,3,3,1975,Aeolian Quartet,Argo,HDNQ.61--HDNQ.66,"Re-released in 1978 as London STS 15337--STS 15342, in 1997 as 455 261-2 and in 2009 as Decca 478 1267"
009_3,9,3,3,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
009_3,9,3,3,2010,Auryn-Quartett,Tacet,190,
009_3,9,3,3,1958,Beaux-Arts String Quartet,Washington,WR 450--WR 452,Also issued as WLP 451
009_3,9,3,3,2006,Buchberger Quartett,Brilliant Classics,92886,Recorded in 2004-05; re-released in 2008 as 93782/82--93782/83
009_3,9,3,3,1967,Dékany Quartet,Vox,SVBX 563,
009_3,9,3,3,1989,Festetics Vonósnégyes,Hungaroton,HCD 17976--HCD 12977,"Also issued as SLPD 12976--SLPD 12978; re-released in 1999 as Arcana A 911, in 2000 as Arcana A 411 and in 2014 as Arcana A 378"
009_3,9,3,3,1994,Kodály Vonósnégyes,Naxos,8.550786,
009_3,9,3,3,2007,London Haydn Quartet,Hyperion,CDA67611,
009_3,9,3,3,1991,Tátrai Vonósnégyes,Hungaroton,HCD 31296--HCD 31297,
009_3,9,3,3,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
009_4,9,4,3,1975,Aeolian Quartet,Argo,HDNQ.61--HDNQ.66,"Re-released in 1978 as London STS 15337--STS 15342, in 1997 as 455 261-2 and in 2009 as Decca 478 1267"
009_4,9,4,3,2017,Amadeus String Quartet,Audite,21.426,
009_4,9,4,3,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
009_4,9,4,3,2010,Auryn-Quartett,Tacet,190,
009_4,9,4,3,1958,Beaux-Arts String Quartet,Washington,WR 450--WR 452,Also issued as WLP 451
009_4,9,4,3,1983,Buchberger Quartett,Colosseum,Col 0644,Recorded in 1983
009_4,9,4,3,2006,Buchberger Quartett,Brilliant Classics,92886,Recorded in 2004-05; re-released in 2008 as 93782/82--93782/83
009_4,9,4,3,1993,Cambrian String Quartet,Cambrian String Quartet,WRC8-6734,
009_4,9,4,3,2009,Casalquartett,Solo Musica,SM 126,
009_4,9,4,3,1967,Dékany Quartet,Vox,SVBX 563,
009_4,9,4,3,2009,Doric String Quartet,Wigmore Hall Live,WHLive0032,Recorded in 2009
009_4,9,4,3,1989,Festetics Vonósnégyes,Hungaroton,HCD 17976--HCD 12977,"Also issued as SLPD 12976--SLPD 12978; re-released in 1999 as Arcana A 911, in 2000 as Arcana A 411 and in 2014 as Arcana A 378"
009_4,9,4,3,2006,Fry Street Quartet,Fry Street Quartet,FSQCD4,
009_4,9,4,3,1994,Kodály Vonósnégyes,Naxos,8.550786,
009_4,9,4,3,2007,London Haydn Quartet,Hyperion,CDA67611,
009_4,9,4,3,2009,Schuppanzigh Quartett,Accent,ACC 24220,
009_4,9,4,3,2009,Smithson String Quartet,Dorian,DSL-90905,
009_4,9,4,3,1991,Tátrai Vonósnégyes,Hungaroton,HCD 31296--HCD 31297,
009_4,9,4,3,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
009_5,9,5,3,1975,Aeolian Quartet,Argo,HDNQ.61--HDNQ.66,"Re-released in 1978 as London STS 15337--STS 15342, in 1997 as 455 261-2 and in 2009 as Decca 478 1267"
009_5,9,5,3,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
009_5,9,5,3,2010,Auryn-Quartett,Tacet,190,
009_5,9,5,3,1958,Beaux-Arts String Quartet,Washington,WR 450--WR 452,Also issued as WLP 452
009_5,9,5,3,2006,Buchberger Quartett,Brilliant Classics,92886,Recorded in 2004-05; re-released in 2008 as 93782/82--93782/83
009_5,9,5,3,1967,Dékany Quartet,Vox,SVBX 563,
009_5,9,5,3,1989,Festetics Vonósnégyes,Hungaroton,HCD 17976--HCD 12977,"Also issued as SLPD 12976--SLPD 12978; re-released in 1999 as Arcana A 911, in 2000 as Arcana A 411 and in 2014 as Arcana A 378"
009_5,9,5,3,1994,Kodály Vonósnégyes,Naxos,8.550787,
009_5,9,5,3,2007,London Haydn Quartet,Hyperion,CDA67611,
009_5,9,5,3,1991,Tátrai Vonósnégyes,Hungaroton,HCD 31296--HCD 31297,
009_5,9,5,3,1992,Wiener Konzerthausquartett,Preiser,90901--90904,
009_6,9,6,3,1975,Aeolian Quartet,Argo,HDNQ.61--HDNQ.66,"Re-released in 1978 as London STS 15337--STS 15342, in 1997 as 455 261-2 and in 2009 as Decca 478 1267"
009_6,9,6,3,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
009_6,9,6,3,2010,Auryn-Quartett,Tacet,190,
009_6,9,6,3,1958,Beaux-Arts String Quartet,Washington,WR 450--WR 452,Also issued as WLP 452
009_6,9,6,3,2006,Buchberger Quartett,Brilliant Classics,92886,Recorded in 2004-05; re-released in 2008 as 93782/82--93782/83
009_6,9,6,3,1967,Dékany Quartet,Vox,SVBX 563,
009_6,9,6,3,1989,Festetics Vonósnégyes,Hungaroton,HCD 17976--HCD 12977,"Also issued as SLPD 12976--SLPD 12978; re-released in 1999 as Arcana A 911, in 2000 as Arcana A 411 and in 2014 as Arcana A 378"
009_6,9,6,3,1994,Kodály Vonósnégyes,Naxos,8.550787,
009_6,9,6,3,2007,London Haydn Quartet,Hyperion,CDA67611,
009_6,9,6,3,2008,Schuppanzigh Quartett,Accent,ACC 24197,
009_6,9,6,3,1991,Tátrai Vonósnégyes,Hungaroton,HCD 31296--HCD 31297,
009_6,9,6,3,1992,Wiener Konzerthausquartett,Preiser,90905--90908,
017_1,17,1,3,1975,Aeolian Quartet,Argo,HDNQ.61--HDNQ.66,"Re-released in 1978 as London STS 15337--STS 15342, in 1997 as 455 261-2 and in 2009 as Decca 478 1267"
017_1,17,1,3,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
017_1,17,1,3,2010,Auryn-Quartett,Tacet,175,
017_1,17,1,3,2008,Buchberger Quartett,Brilliant Classics,93782/95--98782/96,
017_1,17,1,3,1964,Dékany Quartet,Vox,SVBX 561,Also issued as VBX 61
017_1,17,1,3,1994,Festetics Vonósnégyes,Arcana,A 83--A 84 (A 912),Re-released in 2000 as A 412 and in 2014 as Arcana A 378
017_1,17,1,3,1999,Kodály Vonósnégyes,Naxos,8.550853,
017_1,17,1,3,2009,London Haydn Quartet,Hyperion,CDA67722,Re-released in 2014 as Music & Arts CD-1281
017_1,17,1,3,1952,Schneider Quartet,Haydn Society,HSQ-13,Issue number of 3-disc set: HSQ-E; re-released as HS 9083
017_1,17,1,3,1968,Tátrai Vonósnégyes,Qualiton,SLPX 11382,Re-released in 1987 as Hungaroton HCD 11382-2--HCD 11383-2
017_1,17,1,3,1992,Wiener Konzerthausquartett,Preiser,90905--90908,
017_2,17,2,3,1975,Aeolian Quartet,Argo,HDNQ.61--HDNQ.66,"Re-released in 1978 as London STS 15337--STS 15342, in 1997 as 455 261-2 and in 2009 as Decca 478 1267"
017_2,17,2,3,2000,Angeles Quartet,Philips,464 650-2,Re-released in 2012 as Decca 478 3695 (478 3782--478 3802)
017_2,17,2,3,2010,Auryn-Quartett,Tacet,175,
017_2,17,2,3,2008,Buchberger Quartett,Brilliant Classics,93782/95--98782/96,
017_2,17,2,3,1964,Dékany Quartet,Vox,SVBX 561,Also issued as VBX 61
